name,claimed_status,rating,category,reivews,address,street_address,phone_no,website,email,timing,image_link,longitude,latitude,URL,search_key,price
Bloom 横浜店,এই তালিকাটি ম্যানেজ করুন,৪.৩,বিউটি পার্লার,১৯,"2 Chome-19-12 Takashima, Nishi Ward, Yokohama, Kanagawa 220-0011, জাপান
এখানে অবস্থিত: Yokohama Sky Building","FJ7F+RR Yokohama, Kanagawa, জাপান",+81 120-963-474,bloom.ne.jp,,,https://lh5.googleusercontent.com/p/AF1QipPa2TIlbvC_rUBOwC7a7ijmQLYyQQW_xiO8-61K=w408-h305-k-no,35.464579,139.624519,"https://www.google.com/maps/place/Bloom+%E6%A8%AA%E6%B5%9C%E5%BA%97/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185c135e99686b:0xa18644102820fe78!8m2!3d35.464579!4d139.624519",Tokyo 神奈川 横浜 エステ USA,
エステティックTBC 横浜西口本店,এই তালিকাটি ম্যানেজ করুন,৩.৫,বিউটি পার্লার,১৯,"জাপান, 〒220-0004 Kanagawa, Yokohama, Nishi Ward, Kitasaiwai, 1 Chome−1−8 エキニア横浜5F
এখানে অবস্থিত: エキニア横浜","FJ9C+2J Yokohama, Kanagawa, জাপান",+81 45-311-0511,tbc.co.jp,,,https://lh5.googleusercontent.com/p/AF1QipPiloa4IDTOevn0Rfxa-XncC7r_uHJkqbz9aMUd=w408-h306-k-no,35.4675447,139.6215414,"https://www.google.com/maps/place/%E3%82%A8%E3%82%B9%E3%83%86%E3%83%86%E3%82%A3%E3%83%83%E3%82%AFTBC+%E6%A8%AA%E6%B5%9C%E8%A5%BF%E5%8F%A3%E6%9C%AC%E5%BA%97/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185c1201990c8b:0xcf760c7e8af9e163!8m2!3d35.4675447!4d139.6215414",Tokyo 神奈川 横浜 エステ USA,
Rara,এই ব্যবসার দাবি করুন,৪.৫,বিউটি পার্লার,২,"1 Chome-12-1 Kamitanmachi, Kanagawa Ward, Yokohama, Kanagawa 221-0831, জাপান","FJFF+4W Yokohama, Kanagawa, জাপান",+81 45-313-5480,,,,https://geo2.ggpht.com/cbk?panoid=V2-Z8MrE04psiSEaE2deSw&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=346.85013&pitch=0&thumbfov=100,35.4727776,139.6248679,"https://www.google.com/maps/place/Rara/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185c1753453791:0xbcf1ca96c902aaf!8m2!3d35.4727776!4d139.6248679",Tokyo 神奈川 横浜 エステ USA,
エステティックRAYVIS（レイビス）横浜店,এই তালিকাটি ম্যানেজ করুন,২.৪,বিউটি পার্লার,৯,"জাপান, 〒220-0011 Kanagawa, Yokohama, Nishi Ward, Takashima, 2 Chome−13−12 ヨコハマ ジャスト 3 号館 7F, 西区西区
এখানে অবস্থিত: SKY SPA Yokohama","FJ7F+M5 Yokohama, Kanagawa, জাপান",+81 120-455-698,rayvis.jp,,,https://lh5.googleusercontent.com/p/AF1QipORx8IgujaG5ePc7JPtyYZR5EgALvsL6SBwRrsi=w408-h408-k-no,35.4641844,139.6229775,"https://www.google.com/maps/place/%E3%82%A8%E3%82%B9%E3%83%86%E3%83%86%E3%82%A3%E3%83%83%E3%82%AFRAYVIS%EF%BC%88%E3%83%AC%E3%82%A4%E3%83%93%E3%82%B9%EF%BC%89%E6%A8%AA%E6%B5%9C%E5%BA%97/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185c133d659293:0x1db3d835a8c15b26!8m2!3d35.4641844!4d139.6229775",Tokyo 神奈川 横浜 エステ USA,
わたしのハイフ 横浜東口店,,,বিউটি পার্লার,িউটি পার্লা,"জাপান, 〒220-0011 Kanagawa, Yokohama, Nishi Ward, Takashima, 2 Chome−5−14 リバース横浜 303","FJ6C+JX Yokohama, Kanagawa, জাপান",+81 45-534-3116,beauty.hotpepper.jp,,,https://lh5.googleusercontent.com/p/AF1QipPidzX_B6-Bw91xTuFEhi4gJalDxa9Hw-tGwFjd=w681-h240-k-no,35.4615309,139.6224378,"https://www.google.com/maps/place/%E3%82%8F%E3%81%9F%E3%81%97%E3%81%AE%E3%83%8F%E3%82%A4%E3%83%95+%E6%A8%AA%E6%B5%9C%E6%9D%B1%E5%8F%A3%E5%BA%97/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185d39cd0c4517:0x9b99f75e746d372b!8m2!3d35.4615309!4d139.6224378",Tokyo 神奈川 横浜 エステ USA,
たかの友梨ビューティクリニック横浜本店,এই ব্যবসার দাবি করুন,৩.০,বিউটি পার্লার,২,"জাপান, 〒220-0011 Kanagawa, Yokohama, Nishi Ward, Takashima, 2 Chome−19−12, Sky Building, 14F
এখানে অবস্থিত: Marui City Yokohama","FJ7F+RV Yokohama, Kanagawa, জাপান",+81 45-442-0307,takanoyuri.com,,,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,35.4645561,139.6246488,"https://www.google.com/maps/place/%E3%81%9F%E3%81%8B%E3%81%AE%E5%8F%8B%E6%A2%A8%E3%83%93%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF%E6%A8%AA%E6%B5%9C%E6%9C%AC%E5%BA%97/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185c135900fc79:0xef2afff2bb7bdd70!8m2!3d35.4645561!4d139.6246488",Tokyo 神奈川 横浜 エステ USA,
横浜関内メンズエステ SECRET(シークレット),,,বিউটি পার্লার,িউটি পার্লা,"1 Chome-1-1 Ogicho, Naka Ward, Yokohama, Kanagawa 231-0027, জাপান","CJRQ+MF Yokohama, Kanagawa, জাপান",+81 80-5970-2425,mens-secret.tokyo,"vue-awesome-swiper@3.1.2, vue@2.6.10, yokohama.secret@gmail.com",,https://geo0.ggpht.com/cbk?panoid=VfXPlN2IloS2rKQP1e6B8w&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=353.4514&pitch=0&thumbfov=100,35.4417099,139.638734,"https://www.google.com/maps/place/%E6%A8%AA%E6%B5%9C%E9%96%A2%E5%86%85%E3%83%A1%E3%83%B3%E3%82%BA%E3%82%A8%E3%82%B9%E3%83%86+SECRET(%E3%82%B7%E3%83%BC%E3%82%AF%E3%83%AC%E3%83%83%E3%83%88)/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185dc4ebcb481f:0xb278c61aeb03c328!8m2!3d35.4417099!4d139.638734",Tokyo 神奈川 横浜 エステ USA,
エステティックTBC 上大岡店,এই তালিকাটি ম্যানেজ করুন,২.০,বিউটি পার্লার,১,"জাপান, 〒233-0002 Kanagawa, Yokohama, Konan Ward, Kamiookanishi, 1 Chome−6−1 ゆめおおおかオフィスタワー22F","CH4W+XC Yokohama, Kanagawa, জাপান",+81 45-846-3511,tbc.co.jp,,,https://geo2.ggpht.com/cbk?panoid=hBajjgw4PTzYtJdcpBdMdg&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=70.53986&pitch=0&thumbfov=100,35.4074964,139.5960884,"https://www.google.com/maps/place/%E3%82%A8%E3%82%B9%E3%83%86%E3%83%86%E3%82%A3%E3%83%83%E3%82%AFTBC+%E4%B8%8A%E5%A4%A7%E5%B2%A1%E5%BA%97/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185b44791a0177:0xe30d97a480272aa4!8m2!3d35.4074964!4d139.5960884",Tokyo 神奈川 横浜 エステ USA,
たかの友梨ビューティクリニック横浜関内店,এই তালিকাটি ম্যানেজ করুন,৪.০,বিউটি পার্লার,১,"セルテ 3F, 3-33 Masagocho, Naka Ward, Yokohama, Kanagawa 231-0016, জাপান
এখানে অবস্থিত: CERTE","CJVP+W9 Yokohama, Kanagawa, জাপান",+81 45-211-1107,takanoyuri.com,,,https://lh5.googleusercontent.com/p/AF1QipPxheeYuIHd-w-pObBbfcx1kgnWStqRhWlZk0FD=w408-h291-k-no,35.4448614,139.6358844,"https://www.google.com/maps/place/%E3%81%9F%E3%81%8B%E3%81%AE%E5%8F%8B%E6%A2%A8%E3%83%93%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF%E6%A8%AA%E6%B5%9C%E9%96%A2%E5%86%85%E5%BA%97/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185cf14f119863:0x2a523fff952f33fc!8m2!3d35.4448614!4d139.6358844",Tokyo 神奈川 横浜 エステ USA,
HUG LIFE(エステ・ネイル・マツエク)京急杉田駅前店ハグライフ,,৪.২,বিউটি পার্লার,৫,"1 Chome-15-24 1F・2F Sugita, Isogo Ward, Yokohama, Kanagawa 235-0033, জাপান","9JM8+7Q Yokohama, Kanagawa, জাপান",+81 45-772-1042,hug-beauty.com,,,https://lh5.googleusercontent.com/p/AF1QipPk4ld8-HTFLXJa1kzofwHl42HHCuJK53ahXVc9=w408-h548-k-no,35.3831746,139.6169803,"https://www.google.com/maps/place/HUG+LIFE(%E3%82%A8%E3%82%B9%E3%83%86%E3%83%BB%E3%83%8D%E3%82%A4%E3%83%AB%E3%83%BB%E3%83%9E%E3%83%84%E3%82%A8%E3%82%AF)%E4%BA%AC%E6%80%A5%E6%9D%89%E7%94%B0%E9%A7%85%E5%89%8D%E5%BA%97%E3%83%8F%E3%82%B0%E3%83%A9%E3%82%A4%E3%83%95/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x601843668919d4d9:0x624d74af5b250bfa!8m2!3d35.3831746!4d139.6169803",Tokyo 神奈川 横浜 エステ USA,
セルフエステスタジオ BODY ARCHI（横浜店）,এই তালিকাটি ম্যানেজ করুন,৪.৭,বিউটি পার্লার,৭,"জাপান, 〒220-0004 Kanagawa, Yokohama, Nishi Ward, Kitasaiwai, 1 Chome−11−15 横浜ＳＴビル 10F 1001号室","FJ99+45 Yokohama, Kanagawa, জাপান",+81 45-534-3267,bodyarchi.com,,,https://lh5.googleusercontent.com/p/AF1QipO0gUSazqXt0Hxtn1w01n5xgvvDQaJJu_qhJglT=w408-h272-k-no,35.4677954,139.6178766,"https://www.google.com/maps/place/%E3%82%BB%E3%83%AB%E3%83%95%E3%82%A8%E3%82%B9%E3%83%86%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA+BODY+ARCHI%EF%BC%88%E6%A8%AA%E6%B5%9C%E5%BA%97%EF%BC%89/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185dc0959fcdc1:0xdbcd7ffcc0f75268!8m2!3d35.4677954!4d139.6178766",Tokyo 神奈川 横浜 エステ USA,
Cle de Peau Beaute Salon,এই ব্যবসার দাবি করুন,১.০,বিউটি পার্লার,১,"2 Chome-18-1 Takashima, Nishi Ward, Yokohama, Kanagawa 220-0011, জাপান
এখানে অবস্থিত: Sogo Yokohama","FJ8G+46 Yokohama, Kanagawa, জাপান",+81 45-440-5533,cledepeau-beaute.com,,,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,35.4653094,139.6255356,"https://www.google.com/maps/place/Cle+de+Peau+Beaute+Salon/@35.4279154,139.5608811,12z/data=!3m1!5s0x60185c149c148939:0xf2c804903d75bad9!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185c14bd509a7b:0xb6fd47d80533c6b4!8m2!3d35.4653094!4d139.6255356",Tokyo 神奈川 横浜 エステ USA,
Re.Ra.Ku 横浜ランドマークプラザ店,এই তালিকাটি ম্যানেজ করুন,৩.৮,ম্যাসাজ থেরাপিস্ট,৯,"জাপান, 〒220-8105 Kanagawa, Yokohama, Nishi Ward, Minatomirai, 2 Chome−2−1 ランドマークプラザ５F
এখানে অবস্থিত: LANDMARK PLAZA","FJ3J+V8 Yokohama, Kanagawa, জাপান",+81 45-670-7880,reraku.jp,,,https://lh5.googleusercontent.com/p/AF1QipMxEgK1g9_zY6UvDFR4_gHLE6eRnQd5QmMqB1LC=w425-h240-k-no,35.4546444,139.6307888,"https://www.google.com/maps/place/Re.Ra.Ku+%E6%A8%AA%E6%B5%9C%E3%83%A9%E3%83%B3%E3%83%89%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%97%E3%83%A9%E3%82%B6%E5%BA%97/@35.4279154,139.5608811,12z/data=!3m1!5s0x60185c5da74a781f:0x7a0e1c73aa80c2a1!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185c5da3b40a39:0xd395050a941be8b9!8m2!3d35.4546444!4d139.6307888",Tokyo 神奈川 横浜 エステ USA,
POLA THE BEAUTY 横浜店,এই ব্যবসার দাবি করুন,২.৩,বিউটি পার্লার,৩,"জাপান, 〒220-0004 Kanagawa, Yokohama, Nishi Ward, Kitasaiwai, 2 Chome−13−5 A101 ぐうはうす","FJ77+VR Yokohama, Kanagawa, জাপান",+81 45-312-0057,pola.net,,,https://lh5.googleusercontent.com/p/AF1QipPr0EPFrkZb3IF3bommBaks5X5A4ZysQyUiAt8m=w408-h306-k-no,35.4646253,139.6145206,"https://www.google.com/maps/place/POLA+THE+BEAUTY+%E6%A8%AA%E6%B5%9C%E5%BA%97/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185c0953b1489d:0x71c9c9c6e388960!8m2!3d35.4646253!4d139.6145206",Tokyo 神奈川 横浜 エステ USA,
Dr.Body（ドクターボディ）ルミネ横浜店,এই তালিকাটি ম্যানেজ করুন,৩.৮,ম্যাসাজ থেরাপিস্ট,৫,"জাপান, 〒220-0011 Kanagawa, Yokohama, Nishi Ward, Takashima, 2 Chome−16−１ ルミネ横浜店 9F
এখানে অবস্থিত: LUMINE Yokohama","FJ8F+33 Yokohama, Kanagawa, জাপান",+81 45-461-3551,dr-body.jp,information@dr-body.jp,,https://lh5.googleusercontent.com/p/AF1QipMDcuu1YcmWkCZQDR6U3uGqHd6VkHqUkzpHmj40=w408-h408-k-no,35.4652241,139.6227365,"https://www.google.com/maps/place/Dr.Body%EF%BC%88%E3%83%89%E3%82%AF%E3%82%BF%E3%83%BC%E3%83%9C%E3%83%87%E3%82%A3%EF%BC%89%E3%83%AB%E3%83%9F%E3%83%8D%E6%A8%AA%E6%B5%9C%E5%BA%97/@35.4279154,139.5608811,12z/data=!4m8!1m2!2m1!1z56We5aWI5bedIOaoqua1nCDjgqjjgrnjg4YgVG9reW8gSmFwYW4!3m4!1s0x60185c13bb25bdd5:0xceed4a8ccceedb41!8m2!3d35.4652241!4d139.6227365",Tokyo 神奈川 横浜 エステ USA,
